All Racers - ELO and License Report
Generated on: 2025-10-04 15:35:26
====================================================================================================

Rank   Name                                License         ELO        Steam GUID
136    Leon Jenkins                        Rookie          1567       76561198874469608
137    Marty McBriar                       C               1567       76561198057599228
138    Justin Zho                          Rookie          1567       76561199429870237
139    Ferriz Achsan                       Rookie          1567       76561198986733750
140    mark                                Rookie          1566       76561199182918350
141    BootlegCars                         Rookie          1566       76561198048182406
142    Lavihenillo                         C               1565       76561198151446492
143    Orina                               Rookie          1565       76561199390818845
144    Luke Esders                         Rookie          1565       76561198357316841
145    Yasser Mohammad                     Rookie          1563       76561199168927426
146    radspad113                          Rookie          1562       76561198857835613
147    Jacek L.                            Rookie          1562       76561198011475885
148    mlody chudy                         C               1562       76561198087419289
149    barryolo                            Rookie          1562       76561198337958962
150    AndyPandaBear                       Rookie          1562       76561198322213513
151    Marcus Powell                       Rookie          1561       76561197960567663
152    KyrMartyn                           Rookie          1561       76561199597802938
153    pro janusz                          C               1560       76561198383491158
154    Cameron McIntosh                    C               1560       76561199057292223
155    scrub224                            C               1560       76561198393966185
156    Rodrigo Wilde                       Rookie          1558       76561198030978578
157    Wagmen                              Rookie          1558       76561199119185420
158    Jeycobb                             Rookie          1558       76561198267758828
159    ZergFacePLA                         Rookie          1557       76561198073960148
160    FREE PALESTINE                      Rookie          1556       76561198873278533
161    Darky                               C               1556       76561197981430333
162    Wifi                                Rookie          1556       76561198096415249
163    Kepa                                Rookie          1556       76561199007726593
164    Cagermon                            C               1556       76561199201849923
165    PhyPhoestilic                       C               1555       76561197960546602
166    Sanpatsu                            C               1554       76561198809271978
167    Eian VanGenderen                    C               1553       76561198055627980
168    Hax.v3rt                            C               1551       76561198153101533
169    hemisphers                          Rookie          1550       76561198043766047
170    FadeRakoon_                         Rookie          1550       76561199143358029
171    Gelyd                               Rookie          1550       76561199275767454
172    MotoManDan827                       Rookie          1549       76561199482928326
173    Kim Stapleton                       Rookie          1549       76561199446563857
174    Theo.A                              Rookie          1549       76561198241561312
175    mochii_gv                           Rookie          1549       76561199175548506
176    Potato, Cheesus                     Rookie          1547       76561198309443188;76561198801402641
177    berat334407                         C               1547       76561198964687068
178    David Montahuano                    Rookie          1547       76561199054063793
179    Titi Colectinha                     Rookie          1546       76561198829980480
180    Hachero                             Rookie          1546       76561198116081308
181    hachiroku86                         C               1546       76561199396093856
182    tactigoofy                          Rookie          1546       76561198267336474
183    Andre Martins                       Rookie          1545       76561198169831294
184    driftkngg                           Rookie          1545       76561199636809480
185    Darkzwy                             C               1545       76561199063051840
186    EvilFT                              Rookie          1544       76561198313042412
187    xMarincx                            C               1544       76561198263620310
188    Paul Verboonen                      Rookie          1544       76561198130584179
189    Lefty Joe                           Rookie          1543       76561198048898470
190    Oli                                 C               1543       76561199208661282
191    George                              Rookie          1543       76561197963613898
192    B1SMILLAH                           Rookie          1543       76561198314800807
193    Thanks Obama                        C               1543       76561198089372854
194    Gergely K.                          Rookie          1543       76561198164954668
195    Pyrogue                             D               1542       76561199055128206
196    vladb                               Rookie          1541       76561198149311099
197    Dvyil                               Rookie          1540       76561199089380513
198    Fenn Chapman                        Rookie          1539       76561198824770426
199    VaughnG71                           Rookie          1539       76561198029171083
200    Borja Kankkunen                     C               1539       76561198344024606
201    M.Calderón                          Rookie          1538       76561199172924739
202    XWNR                                Rookie          1538       76561199069523575
203    Jeff Daoust                         Rookie          1538       76561198890654817
204    dairy                               C               1538       76561199087665056
205    d00z                                C               1538       76561198804634501
206    Mau                                 Rookie          1538       76561198238012286
207    c0ffey                              Rookie          1537       76561198045246378
208    Jeremy Chastain                     Rookie          1537       76561199206997901
209    H4RVIN9991                          Rookie          1536       76561199007564215
210    JayBl                               Rookie          1535       76561198846547500
211    Stirlin9Moss                        Rookie          1535       76561198797341739
212    pifpaf                              Rookie          1535       76561199519599375
213    AtlasSpace                          Rookie          1534       76561198388799078
214    uppy06                              Rookie          1534       76561198349306087
215    Raul Torrico                        Rookie          1534       76561198115323834
216    Ronan Carvalho                      C               1534       76561198319580218
217    GST                                 Rookie          1533       76561197976178833
218    {ZULU} KillBill                     Rookie          1533       76561198016379386
219    FantasyM                            C               1533       76561199188834548
220    pppoopoo                            Rookie          1533       76561199016517634
221    YusufAzhar                          C               1532       76561199160851744
222    xXJaZillaBruXx                      Rookie          1532       76561199044398303
223    Mogo, Jäwa                          Rookie          1532       76561197979979433;76561199027589694
224    SindiTheDriver                      Rookie          1532       76561198382209854
225    Pausch                              C               1532       76561198093689833
226    Shiro                               Rookie          1531       76561198137322371
227    Kis Balazs                          Rookie          1531       76561198335081743
228    ROMAN                               Rookie          1531       76561199116543638
229    Amarow_                             Rookie          1530       76561198143606393
230    Mr_Ant87                            Rookie          1530       76561198242391840
231    SDGambit                            Rookie          1530       76561197969193463
232    KWes                                C               1530       76561198348511025
233    Aiden                               Rookie          1530       76561198208944111
234    CoachL9                             C               1530       76561198207149351
235    Kuba Rak                            Rookie          1530       76561198047832452
236    Player                              Rookie          1529       76561199048724626
237    Toko                                Rookie          1529       76561199620069816
238    Bleky146                            Rookie          1529       76561198122083292
239    KeveveK                             Rookie          1529       76561198355449180
240    Frank                               Rookie          1529       76561198225837660
241    Ellis                               Rookie          1529       76561198330045169
242    Phillip Ellis                       Rookie          1528       76561198039346740
243    comrade14andrei                     C               1528       76561197982974934
244    maquandt                            Rookie          1528       76561199136807034
245    Zoomies                             Rookie          1528       76561198117403132
246    TMF | mau                           Rookie          1528       76561198044760121
247    Essfiftytwo                         Rookie          1528       76561198401992912
248    Mackank                             Rookie          1528       76561198107071821
249    Charlie                             Rookie          1527       76561199145472197
250    Coreia                              Rookie          1527       76561198253570371
251    Gravgrav                            Rookie          1527       76561197995729560
252    Splendid                            Rookie          1527       76561197971872704;76561199194755492
253    AkHermit                            Rookie          1527       76561198330010485
254    BENJA. W                            Rookie          1527       76561199177151499
255    ThomasIsReady                       Rookie          1527       76561199072059059
256    Sexy Snail                          Rookie          1526       76561198114985375
257    Andre Filipe Ribeiro Barros         Rookie          1526       76561198330396186
258    RobertClio                          Rookie          1526       76561198023604576
259    S2YMX                               Rookie          1525       76561198076356257
260    Dimas                               Rookie          1525       76561197999197404
261    Sunday Driver                       C               1525       76561198121317564
262    RalphaTauri                         Rookie          1525       76561199217875819
263    Luna de Wit                         Rookie          1525       76561198220739096
264    Guilherme Santiago                  Rookie          1524       76561198131517753
265    Rebeen                              Rookie          1524       76561199503683115
266    RaibaRSG654                         Rookie          1524       76561199371363718
267    Gus                                 C               1524       76561197993727460
268    VladTheMeatMan                      Rookie          1523       76561199013326611
269    IronBloodAxe793                     Rookie          1523       76561198165070391
270    TheRedBean                          Rookie          1523       76561199487233242
271    Nut Driver                          Rookie          1523       76561198085938744
272    Minas Cholevas                      Rookie          1523       76561198278693489
273    Rolf Imhof                          Rookie          1523       76561197995483212
274    Maxence                             Rookie          1522       76561198814565565
275    Leo Cardoso                         Rookie          1522       76561197968563540
276    Splendid                            Rookie          1522       76561197971872704;76561198008585393
277    Sky22                               Rookie          1522       76561198341451112
278    R. Araujo, P. Ricardo               Rookie          1522       76561198324203128;76561198359514051
279    Colmer                              Rookie          1522       76561198799119588
280    itsm_tt                             Rookie          1522       76561198109758560
281    SpeedBump, Gggrumpy_pppprint        Rookie          1522       76561198987735116;76561199402867444
