All Racers - ELO and License Report
Generated on: 2025-10-28 03:21:50
========================================================================================================================

Rank   Race Name                      Discord Name              License    ELO        Steam GUID
------------------------------------------------------------------------------------------------------------------------
1      Parmesan                       parmesan.296              A          2016       76561198309443188
2      [DLRT] Articulatefox           foxexplorer               A          1939       76561198135642660
3      Unknown                        jawa999                   A          1933       76561199027589694
4      Mylan Eling                    _mylan_                   A          1930       76561199060299709
5      Dmitry Oss                     dmitryoss                 A          1927       76561198019267787
6      BassCannon                     N/A                       A          1914       76561198287158193
7      Mogo                           mogo2261                  A          1875       76561197979979433
8      Soup                           soup5088                  A          1868       76561198813709452
9      Potato                         januarysnow               A          1858       76561198801402641
10     Alyias Flynn                   N/A                       A          1851       76561198059480628
11     ohyeah2389                     N/A                       A          1848       76561198111649540
12     Big Justice                    iosh1                     A          1833       76561199008053666
13     Splendid                       N/A                       A          1831       76561197971872704
14     Sir Banana7720                 N/A                       C          1831       76561199013532119
15     Botlando                       rolandoramos              A          1824       76561198002604748
16     Jump_Raven                     N/A                       A          1824       76561197994131629
17     Peter Szabo                    szab007                   B          1819       76561197961151993
18     Boebie Boeberson               N/A                       B          1809       76561198092379135
19     baller                         grzegorz6729              B          1807       76561198940512950
20     theraxo                        theraxo                   A          1807       76561199166486667
21     sebastien_beaulieu             sebastien_beaulieu        A          1792       76561199106047354
22     Josh Fulton                    joshfulton                A          1790       76561198013813110
23     Boat                           longbeachboat562          A          1780       76561198811265034
24     Lukeydude                      N/A                       C          1775       76561198357316841
25     Dan                            N/A                       B          1767       76561198027893703
26     Moe Powers                     macadao                   A          1762       76561199183099394
27     Tommy Boy                      N/A                       A          1761       76561198047002406
28     Michals                        michals0098               A          1755       76561198151341342
29     Buggy                          farquadsquads             A          1753       76561198103373944
30     Kiagoalski                     N/A                       A          1753       76561199087354592
31     niggo.e36                      niggo.e36                 A          1750       76561198079460346
32     Locket Rauncher                N/A                       B          1749       76561198002378355
33     im2slick4u                     N/A                       C          1749       76561199093706865
34     BlitzMaxii                     N/A                       C          1748       76561198834866483
35     Nebojsa Brankovic              sone246                   B          1745       76561198312567918
36     J2Quick                        N/A                       C          1741       76561198337770553
37     Yossarian                      yossarian_68553           B          1736       76561198042272495
38     iamajai                        iamajai                   B          1735       76561197971257030
39     NicksSkillz                    N/A                       B          1730       76561198023212152
40     ClutchRuss                     clutchruss                B          1727       76561199005426478
41     Tater                          taterooo                  B          1727       76561198842314853
42     D4ncC                          jackarnigi                B          1720       76561198196672310
43     CTRL | IttzzDiogoPT            N/A                       B          1717       76561198204175552
44     Vojtech Adamira                N/A                       B          1716       76561199121818116
45     Jackyback                      N/A                       B          1709       76561198133860403
46     Feras Slient                   N/A                       B          1709       76561198097901659
47     wibba                          N/A                       B          1703       76561198806167197
48     rev174                         rev174                    D          1703       76561198027981090
49     Jere V.                        N/A                       B          1696       76561199017651793
50     Eric Latil                     N/A                       Rookie     1690       76561198006475537
51     Project La Violette            projectpurple             B          1687       76561199016198981
52     Wyatt                          N/A                       C          1687       76561197991795515
53     Zaneninja13                    zaneninja13               D          1687       76561198282139933
54     KulaMocyBombaMiesoBezGMO       ready2di3                 B          1680       76561198828646049
55     DapperMKVI                     N/A                       B          1673       76561198048853718
56     DirtyHarry                     N/A                       Rookie     1673       76561198046156507
57     PogoXS                         pogoxs                    B          1669       76561197971026790
58     Matheus                        N/A                       C          1666       76561198377657700
59     DeadlyD4N13L                   deadlyd4n13l              B          1662       76561198403818896
60     Nick Chin                      nickodicko6576            B          1653       76561198360326108
61     SpeedBump                      vrsimracing               B          1652       76561198987735116
62     AlexGoesRacing                 N/A                       B          1652       76561198193116245
63     David C                        N/A                       B          1651       76561198108853352
64     Waasay Anjum                   N/A                       B          1650       76561198271003062
65     pjeretus                       N/A                       C          1650       76561199372364177
66     TriableGuitarUY                N/A                       B          1644       76561198982701265
67     scrub224                       scrub224                  B          1643       76561198393966185
68     GMPness                        N/A                       Rookie     1642       76561198835752301
69     Cronkavelli                    N/A                       B          1641       76561198061460444
70     Max Cherobin                   N/A                       Rookie     1639       76561198015425145
71     J. Battalion                   N/A                       B          1638       76561199490657475
72     whiteesmith                    N/A                       C          1636       76561198995194304
73     Dankest...                     N/A                       B          1636       76561199400728965
74     Big Dean Energy                deanwells1234             B          1634       76561198006737063
75     Ram                            N/A                       B          1634       76561198072352217
76     Marcos Mariño                  N/A                       Rookie     1634       76561199084335436
