All Racers - ELO and License Report
Generated on: 2025-10-04 15:38:58
========================================================================================================================

Rank   Race Name                      Discord Name              License    ELO        Steam GUID
97     FrontlineChief                 N/A                       Rookie     1605       76561198054389021
98     Jacques L.                     N/A                       B          1601       76561198126444169
99     iHateUnderscores_              N/A                       Rookie     1601       76561198031230676
100    Bojowson                       N/A                       B          1601       76561198336275966
101    Chloroform                     N/A                       B          1601       76561198065400100
102    Alex Circi                     N/A                       B          1600       76561198133369059
103    Vennasmin                      N/A                       Rookie     1599       76561198059805995
104    bas1t                          N/A                       C          1598       76561198812856617
105    Austen Figueroa                N/A                       Rookie     1597       76561198394806148
106    C.                             N/A                       Rookie     1597       76561198042694032
107    Will Rossetti                  N/A                       Rookie     1592       76561198031958134
108    MrRalphMan                     mrralphman                C          1591       76561197960844564
109    Cheese                         N/A                       C          1591       76561199011210223
110    loler_xd2                      N/A                       Rookie     1591       76561198836407737
111    sam                            N/A                       Rookie     1590       76561198189440837
112    ZeroToHero                     zerotohero_               Rookie     1590       76561199230023715
113    t.sydney                       N/A                       D          1590       76561199667740422
114    Sam S.                         sam_gt3                   C          1586       76561197997029041
115    karzmir4                       N/A                       Rookie     1584       76561199126001712
116    Jorge                          N/A                       Rookie     1583       76561198137498092
117    darkskinshark                  N/A                       Rookie     1583       76561198844305025
118    BlitzMaxii                     N/A                       Rookie     1582       76561198834866483
119    Ahsan                          _askeladden__             C          1580       76561198314332959
120    Andresehn                      N/A                       C          1579       76561197999350086
121    Big Dean Energy                deanwells1234             C          1578       76561198006737063
122    Roberto Olivetti               N/A                       Rookie     1578       76561198084534922
123    BarrNarrSki                    N/A                       Rookie     1576       76561199041930219
124    Ricky Richmond                 N/A                       Rookie     1576       76561197993765451
125    Matheus Albuquerque            albuquerque_19            C          1575       76561198810077542
126    brispe                         N/A                       Rookie     1575       76561198042381863
127    WooHooMan43                    woohooman43               C          1574       76561198979459890
128    Toro4lfaro                     N/A                       C          1573       76561198136576904
129    Levison22                      N/A                       Rookie     1572       76561199067312757
130    Wiktor Koczkodaj               N/A                       D          1572       76561199021696668
131    Andy Thompson                  N/A                       C          1572       76561198150780911
132    Sergio                         N/A                       Rookie     1570       76561198046492800
133    Tanner                         N/A                       Rookie     1568       76561198983419003
134    Fata1fr3ak                     N/A                       C          1567       76561197983313145
135    Mathi                          N/A                       Rookie     1567       76561199058742993
136    Leon Jenkins                   N/A                       Rookie     1567       76561198874469608
137    Marty McBriar                  N/A                       C          1567       76561198057599228
138    Justin Zho                     N/A                       Rookie     1567       76561199429870237
139    Ferriz Achsan                  N/A                       Rookie     1567       76561198986733750
140    mark                           N/A                       Rookie     1566       76561199182918350
141    BootlegCars                    N/A                       Rookie     1566       76561198048182406
142    Lavihenillo                    N/A                       C          1565       76561198151446492
143    Orina                          N/A                       Rookie     1565       76561199390818845
144    Luke Esders                    N/A                       Rookie     1565       76561198357316841
145    Yasser Mohammad                N/A                       Rookie     1563       76561199168927426
146    radspad113                     N/A                       Rookie     1562       76561198857835613
147    Jacek L.                       N/A                       Rookie     1562       76561198011475885
148    mlody chudy                    N/A                       C          1562       76561198087419289
149    barryolo                       N/A                       Rookie     1562       76561198337958962
150    AndyPandaBear                  N/A                       Rookie     1562       76561198322213513
151    Marcus Powell                  N/A                       Rookie     1561       76561197960567663
152    KyrMartyn                      N/A                       Rookie     1561       76561199597802938
153    pro janusz                     N/A                       C          1560       76561198383491158
154    Cameron McIntosh               N/A                       C          1560       76561199057292223
155    scrub224                       scrub224                  C          1560       76561198393966185
156    Rodrigo Wilde                  N/A                       Rookie     1558       76561198030978578
157    Wagmen                         N/A                       Rookie     1558       76561199119185420
158    Jeycobb                        N/A                       Rookie     1558       76561198267758828
159    ZergFacePLA                    N/A                       Rookie     1557       76561198073960148
160    FREE PALESTINE                 N/A                       Rookie     1556       76561198873278533
161    Darky                          N/A                       C          1556       76561197981430333
162    Wifi                           N/A                       Rookie     1556       76561198096415249
163    Kepa                           N/A                       Rookie     1556       76561199007726593
164    Cagermon                       cagermon                  C          1556       76561199201849923
165    PhyPhoestilic                  N/A                       C          1555       76561197960546602
166    Sanpatsu                       N/A                       C          1554       76561198809271978
167    Eian VanGenderen               N/A                       C          1553       76561198055627980
168    Hax.v3rt                       N/A                       C          1551       76561198153101533
169    hemisphers                     N/A                       Rookie     1550       76561198043766047
170    FadeRakoon_                    N/A                       Rookie     1550       76561199143358029
171    Gelyd                          N/A                       Rookie     1550       76561199275767454
172    MotoManDan827                  N/A                       Rookie     1549       76561199482928326
173    Kim Stapleton                  N/A                       Rookie     1549       76561199446563857
174    Theo.A                         N/A                       Rookie     1549       76561198241561312
175    mochii_gv                      N/A                       Rookie     1549       76561199175548506
176    Potato, Cheesus                N/A                       Rookie     1547       76561198309443188;76561198801402641
177    berat334407                    N/A                       C          1547       76561198964687068
178    David Montahuano               N/A                       Rookie     1547       76561199054063793
179    Titi Colectinha                N/A                       Rookie     1546       76561198829980480
180    Hachero                        N/A                       Rookie     1546       76561198116081308
181    hachiroku86                    N/A                       C          1546       76561199396093856
182    tactigoofy                     N/A                       Rookie     1546       76561198267336474
183    Andre Martins                  N/A                       Rookie     1545       76561198169831294
184    driftkngg                      N/A                       Rookie     1545       76561199636809480
185    Darkzwy                        N/A                       C          1545       76561199063051840
186    EvilFT                         N/A                       Rookie     1544       76561198313042412
187    xMarincx                       N/A                       C          1544       76561198263620310
188    Paul Verboonen                 N/A                       Rookie     1544       76561198130584179
189    Lefty Joe                      N/A                       Rookie     1543       76561198048898470
190    Oli                            N/A                       C          1543       76561199208661282
191    George                         N/A                       Rookie     1543       76561197963613898
192    B1SMILLAH                      N/A                       Rookie     1543       76561198314800807
193    Thanks Obama                   N/A                       C          1543       76561198089372854
194    Gergely K.                     N/A                       Rookie     1543       76561198164954668
195    Pyrogue                        N/A                       D          1542       76561199055128206
196    vladb                          N/A                       Rookie     1541       76561198149311099
197    Dvyil                          N/A                       Rookie     1540       76561199089380513
198    Fenn Chapman                   N/A                       Rookie     1539       76561198824770426
199    VaughnG71                      N/A                       Rookie     1539       76561198029171083
200    Borja Kankkunen                N/A                       C          1539       76561198344024606
201    M.Calderón                     N/A                       Rookie     1538       76561199172924739
202    XWNR                           N/A                       Rookie     1538       76561199069523575
203    Jeff Daoust                    N/A                       Rookie     1538       76561198890654817
204    dairy                          N/A                       C          1538       76561199087665056
205    d00z                           N/A                       C          1538       76561198804634501
206    Mau                            N/A                       Rookie     1538       76561198238012286
207    c0ffey                         N/A                       Rookie     1537       76561198045246378
208    Jeremy Chastain                N/A                       Rookie     1537       76561199206997901
209    H4RVIN9991                     N/A                       Rookie     1536       76561199007564215
210    JayBl                          N/A                       Rookie     1535       76561198846547500
211    Stirlin9Moss                   N/A                       Rookie     1535       76561198797341739
212    pifpaf                         N/A                       Rookie     1535       76561199519599375
213    AtlasSpace                     N/A                       Rookie     1534       76561198388799078
214    uppy06                         N/A                       Rookie     1534       76561198349306087
215    Raul Torrico                   N/A                       Rookie     1534       76561198115323834
216    Ronan Carvalho                 N/A                       C          1534       76561198319580218
217    GST                            N/A                       Rookie     1533       76561197976178833
218    {ZULU} KillBill                N/A                       Rookie     1533       76561198016379386
219    FantasyM                       N/A                       C          1533       76561199188834548
220    pppoopoo                       N/A                       Rookie     1533       76561199016517634
221    YusufAzhar                     N/A                       C          1532       76561199160851744
222    xXJaZillaBruXx                 N/A                       Rookie     1532       76561199044398303
223    Mogo, Jäwa                     N/A                       Rookie     1532       76561197979979433;76561199027589694
224    SindiTheDriver                 N/A                       Rookie     1532       76561198382209854
225    Pausch                         gimmick7883               C          1532       76561198093689833
226    Shiro                          N/A                       Rookie     1531       76561198137322371
227    Kis Balazs                     N/A                       Rookie     1531       76561198335081743
228    ROMAN                          N/A                       Rookie     1531       76561199116543638
229    Amarow_                        N/A                       Rookie     1530       76561198143606393
230    Mr_Ant87                       N/A                       Rookie     1530       76561198242391840
231    SDGambit                       N/A                       Rookie     1530       76561197969193463
232    KWes                           N/A                       C          1530       76561198348511025
233    Aiden                          N/A                       Rookie     1530       76561198208944111
234    CoachL9                        N/A                       C          1530       76561198207149351
235    Kuba Rak                       N/A                       Rookie     1530       76561198047832452
236    Player                         N/A                       Rookie     1529       76561199048724626
237    Toko                           N/A                       Rookie     1529       76561199620069816
238    Bleky146                       N/A                       Rookie     1529       76561198122083292
239    KeveveK                        N/A                       Rookie     1529       76561198355449180
240    Frank                          N/A                       Rookie     1529       76561198225837660
241    Ellis                          N/A                       Rookie     1529       76561198330045169
242    Phillip Ellis                  N/A                       Rookie     1528       76561198039346740
243    comrade14andrei                N/A                       C          1528       76561197982974934
244    maquandt                       N/A                       Rookie     1528       76561199136807034
245    Zoomies                        N/A                       Rookie     1528       76561198117403132
246    TMF | mau                      N/A                       Rookie     1528       76561198044760121
247    Essfiftytwo                    N/A                       Rookie     1528       76561198401992912
248    Mackank                        N/A                       Rookie     1528       76561198107071821
249    Charlie                        N/A                       Rookie     1527       76561199145472197
250    Coreia                         N/A                       Rookie     1527       76561198253570371
251    Gravgrav                       N/A                       Rookie     1527       76561197995729560
252    Splendid                       N/A                       Rookie     1527       76561197971872704;76561199194755492
253    AkHermit                       N/A                       Rookie     1527       76561198330010485
254    BENJA. W                       N/A                       Rookie     1527       76561199177151499
255    ThomasIsReady                  N/A                       Rookie     1527       76561199072059059
256    Sexy Snail                     N/A                       Rookie     1526       76561198114985375
257    Andre Filipe Ribeiro Barros    N/A                       Rookie     1526       76561198330396186
258    RobertClio                     N/A                       Rookie     1526       76561198023604576
259    S2YMX                          N/A                       Rookie     1525       76561198076356257
260    Dimas                          N/A                       Rookie     1525       76561197999197404
261    Sunday Driver                  N/A                       C          1525       76561198121317564
262    RalphaTauri                    N/A                       Rookie     1525       76561199217875819
263    Luna de Wit                    N/A                       Rookie     1525       76561198220739096
264    Guilherme Santiago             N/A                       Rookie     1524       76561198131517753
265    Rebeen                         N/A                       Rookie     1524       76561199503683115
266    RaibaRSG654                    N/A                       Rookie     1524       76561199371363718
267    Gus                            N/A                       C          1524       76561197993727460
268    VladTheMeatMan                 N/A                       Rookie     1523       76561199013326611
269    IronBloodAxe793                N/A                       Rookie     1523       76561198165070391
270    TheRedBean                     N/A                       Rookie     1523       76561199487233242
271    Nut Driver                     N/A                       Rookie     1523       76561198085938744
272    Minas Cholevas                 N/A                       Rookie     1523       76561198278693489
273    Rolf Imhof                     N/A                       Rookie     1523       76561197995483212
274    Maxence                        N/A                       Rookie     1522       76561198814565565
275    Leo Cardoso                    N/A                       Rookie     1522       76561197968563540
276    Splendid                       N/A                       Rookie     1522       76561197971872704;76561198008585393
277    Sky22                          N/A                       Rookie     1522       76561198341451112
278    R. Araujo, P. Ricardo          N/A                       Rookie     1522       76561198324203128;76561198359514051
279    Colmer                         N/A                       Rookie     1522       76561198799119588
280    itsm_tt                        N/A                       Rookie     1522       76561198109758560
281    SpeedBump, Gggrumpy_pppprint   N/A                       Rookie     1522       76561198987735116;76561199402867444
282    TheDutchSteww                  N/A                       Rookie     1522       76561199643257651
283    Valentinツ                      N/A                       Rookie     1521       76561198307476555
284    Egodius                        N/A                       Rookie     1521       76561198932104112
285    Joe Martin                     N/A                       Rookie     1521       76561199204816229
286    trapitx                        N/A                       Rookie     1521       76561198002090430
287    proaxiscockpit1                N/A                       Rookie     1520       76561199477909897
288    Lee                            N/A                       Rookie     1520       76561198104776684
289    Greddy2die                     N/A                       Rookie     1520       76561198166373889
290    3batzz._                       N/A                       Rookie     1520       76561199014135952
291    Player                         N/A                       Rookie     1520       76561199759073724
292    Jasen Rothe                    N/A                       Rookie     1520       76561198280394901
293    Shane Rose                     N/A                       Rookie     1519       76561198986985192
294    Yuxri_                         N/A                       Rookie     1519       76561199103752329
295    FASTANDFURIOUS                 N/A                       C          1519       76561198035874169
296    👮 | Muchacho_AC | 👮            N/A                       Rookie     1519       76561198125402844
297    9000                           N/A                       Rookie     1519       76561198207659588
298    Player                         N/A                       Rookie     1519       76561198893650464
299    Rmlahud                        N/A                       Rookie     1519       76561198354320937
300    Leon                           N/A                       Rookie     1519       76561199069473055
301    Paul Kirn                      N/A                       Rookie     1519       76561199062772620
302    peybs                          N/A                       Rookie     1519       76561199191933748
303    fabii22                        N/A                       Rookie     1518       76561198815927546
304    Grello48                       N/A                       Rookie     1518       76561199436508024
305    foffles105                     N/A                       C          1518       76561198350077966
306    Le Doge                        N/A                       Rookie     1518       76561198220590268
307    Socks!                         N/A                       Rookie     1518       76561198119776708
308    Dark Lounge                    N/A                       D          1518       76561198040631272
309    Killerkartoffel                N/A                       C          1518       76561198170363978
310    Rigertas Sazanskis             N/A                       Rookie     1518       76561199263171993
311    James E                        N/A                       C          1518       76561199069083784
312    Baljeet                        N/A                       Rookie     1517       76561198301425062
313    cr0wley13                      N/A                       Rookie     1517       76561198968277103
314    Lich King                      N/A                       C          1517       76561198301613804
315    B3Ice                          N/A                       Rookie     1517       76561198236387592
316    a-12                           N/A                       Rookie     1517       76561199487211522
317    pork_rib                       N/A                       Rookie     1517       76561198362542552
318    ☩ Team Emperor | Benji         N/A                       Rookie     1517       76561198827117789
319    Marmlo                         N/A                       Rookie     1517       76561198209231325
320    eduardo                        N/A                       Rookie     1516       76561198056917462
321    Kamil Dziadek                  N/A                       Rookie     1516       76561198026746239
322    KiPlaY                         N/A                       Rookie     1516       76561198974939251
323    moonunit42                     N/A                       Rookie     1516       76561198044993880
324    Nickodicko, WooHooMan43        N/A                       Rookie     1516       76561198360326108;76561198979459890
325    GiantLeap                      N/A                       Rookie     1516       76561198137455959
326    PCdrift                        N/A                       Rookie     1515       76561198070050689
327    Antonin                        N/A                       Rookie     1515       76561199137992020
328    antho                          N/A                       Rookie     1515       76561198163643173
329    Emacx                          N/A                       Rookie     1515       76561198141563612
330    Tuhero                         N/A                       Rookie     1515       76561198045522603
331    Sneeper92                      N/A                       Rookie     1515       76561199478085486
332    Player                         N/A                       Rookie     1515       76561198816242220
333    Anita Max Wynn                 N/A                       Rookie     1515       76561199024728350
334    BRENNEN                        N/A                       Rookie     1515       76561198840040642
335    Revzk                          N/A                       Rookie     1515       76561198261930891
336    rossada                        N/A                       Rookie     1514       76561198060752380
337    Gil                            N/A                       Rookie     1514       76561198013859484
338    cookie                         N/A                       Rookie     1514       76561198008349810
339    anemonism                      N/A                       C          1514       76561199037469182
340    Lucas Lima                     N/A                       Rookie     1514       76561198285341331
341    Pineapple the Fruit Dude       N/A                       Rookie     1514       76561198873010777
342    Maple On Dead Pedals           N/A                       C          1514       76561199179068038
343    Ze Cunha                       N/A                       Rookie     1514       76561198021577255
344    Sommerc09                      N/A                       Rookie     1513       76561199475375441
345    Luc__00                        N/A                       Rookie     1513       76561198162150178
346    Luigichadgamer                 N/A                       Rookie     1513       76561198959607755
347    MightyBeast                    N/A                       Rookie     1513       76561198394600145
348    Erkenbrands                    N/A                       C          1513       76561198038557517
349    juiceza                        N/A                       Rookie     1513       76561198238132230
350    OffGridArcade                  N/A                       Rookie     1513       76561198442309042
351    Js.Choi                        N/A                       Rookie     1513       76561198090555634
352    ryanborstelmann                N/A                       C          1512       76561199262700322
353    Player                         N/A                       Rookie     1512       76561199630482516
354    Miki_on_kartofel               N/A                       Rookie     1512       76561199065716443
355    Santino Benavidez              N/A                       Rookie     1511       76561199094759277
356    RTP QWURCLE                    N/A                       Rookie     1511       76561199502656393
357    Sage                           N/A                       Rookie     1511       76561198278976160
358    st00pit                        N/A                       Rookie     1511       76561198940275704
359    Roberto Iofalo                 N/A                       Rookie     1511       76561198168321657
360    amaroYF                        N/A                       Rookie     1511       76561198065626590
361    Piggy5629                      N/A                       Rookie     1511       76561199304963627
362    blxckdanielvdb                 N/A                       Rookie     1511       76561199418758949
363    Snooze Verstappen              N/A                       Rookie     1511       76561199173082953
364    Berries                        N/A                       Rookie     1511       76561197994917313
365    Speedyey                       N/A                       Rookie     1511       76561198073549607
366    AxelGamesYTS                   N/A                       Rookie     1511       76561198404716693
367    ?�熬?�叫                         N/A                       Rookie     1511       76561198415258996
368    台南白海豚                          N/A                       Rookie     1511       76561199383715254
369    Gillolface                     N/A                       C          1511       76561198386154171
370    diabetesboy5                   N/A                       Rookie     1511       76561198450839258
371    KK                             N/A                       Rookie     1511       76561199226956093
372    VICIOUS MOGGER                 N/A                       Rookie     1511       76561199654247456
373    MrToast                        N/A                       Rookie     1511       76561198161130187
374    Alejandroo                     N/A                       Rookie     1511       76561199319697649
375    mutanofn                       N/A                       Rookie     1510       76561198207220595
376    Larsi                          N/A                       Rookie     1510       76561198119112872
377    Salt                           N/A                       Rookie     1510       76561198422196868
378    GimmieYoWallet                 N/A                       Rookie     1510       76561198031902350
379    butter                         N/A                       Rookie     1510       76561198989576792
380    Potato, ZeroToHero             N/A                       Rookie     1510       76561198801402641;76561199230023715
381    CoolConcrete                   N/A                       Rookie     1510       76561198281535522
382    BenChaggares46                 N/A                       Rookie     1509       76561198822151823
383    angel_and_devils               N/A                       Rookie     1509       76561199439080040
384    Carlos                         N/A                       Rookie     1509       76561198119672277
385    o0Nasser0o                     N/A                       Rookie     1509       76561199239217901
386    Jake Johansen                  N/A                       Rookie     1509       76561198047230400
387    Iosh, Patchy, ProjectPurple    N/A                       Rookie     1509       76561198198719963;76561199008053666;76561199016198981
388    vis                            N/A                       Rookie     1509       76561198012795794
389    pjeretus                       N/A                       Rookie     1509       76561199372364177
390    FKW BlackWidow                 N/A                       Rookie     1508       76561198362819555
391    pilotboy651                    N/A                       Rookie     1508       76561198162440753
392    Thomas                         N/A                       Rookie     1508       76561198047002406;76561199183099394
393    R. Araujo                      N/A                       C          1508       76561198324203128
394    AWOL                           N/A                       Rookie     1508       76561198073042321
395    supercat810                    N/A                       Rookie     1508       76561198883821843
396    WhiteLightning                 N/A                       Rookie     1508       76561198866646111
397    SuperHuhman                    N/A                       Rookie     1508       76561198101622977
398    Stefan Kroll                   N/A                       Rookie     1508       76561198063173910
399    FL8                            N/A                       Rookie     1508       76561199684391687
400    Sergiu Novac                   N/A                       Rookie     1508       76561199057804650
401    Zoe                            N/A                       Rookie     1508       76561198862708890
402    Genji                          N/A                       Rookie     1507       76561198362188457
403    Fran                           N/A                       Rookie     1507       76561199102938814
404    Jolasticot                     N/A                       Rookie     1507       76561198957220210
405    mez                            N/A                       Rookie     1507       76561199090096339
406    Mentx                          N/A                       Rookie     1507       76561198084662366
407    MrPritchard                    N/A                       Rookie     1507       76561198064986241
408    Mr_Ford65                      N/A                       Rookie     1507       76561198257025033
409    I.R.O.N. USA                   N/A                       Rookie     1507       76561198018656515
410    Sulphuric                      N/A                       Rookie     1507       76561199150909752
411    jiaxi612                       N/A                       Rookie     1507       76561199543268544
412    mattrap                        N/A                       Rookie     1507       76561197965045581
413    milkman                        N/A                       Rookie     1507       76561199081466855
414    Tommy boy, SpeedBump           N/A                       Rookie     1507       76561198047002406;76561198987735116
415    Bartłomiej Gozdek              N/A                       Rookie     1507       76561198962312812
416    chribreu420                    N/A                       Rookie     1507       76561198286103208
417    splash zone                    N/A                       Rookie     1507       76561198096322250
418    Danielle                       N/A                       Rookie     1507       76561198140321276
419    chonk0                         N/A                       Rookie     1507       76561199014676488
420    KyoteiJ30                      N/A                       Rookie     1507       76561198147823146
421    GOATDOGGY                      N/A                       Rookie     1507       76561198097650206
422    maurovie                       N/A                       Rookie     1507       76561198963456650
423    Zink Slayer                    N/A                       Rookie     1507       76561199063311261
424    aura consumer                  N/A                       Rookie     1507       76561199067612092
425    M.Platt                        N/A                       Rookie     1507       76561199122961600
426    scrappyelk                     N/A                       Rookie     1507       76561198967834986
427    Banray                         N/A                       Rookie     1507       76561198390093491
428    Z1Z1_Fast                      N/A                       Rookie     1507       76561197966667485
429    KimJong Un II                  N/A                       Rookie     1507       76561198826024907
430    Toister                        N/A                       Rookie     1507       76561198169894631
431    MULTI_21                       N/A                       Rookie     1507       76561198338899456
432    Novus                          N/A                       Rookie     1507       76561198877520451
433    Kacper Jarzynowski             N/A                       D          1507       76561198023064581
434    Spudnik                        N/A                       Rookie     1507       76561198001558365
435    hurmpiedurmpie                 N/A                       Rookie     1507       76561198333869533
436    Cyril Adams                    N/A                       Rookie     1507       76561198843270763
437    Ignacio Maitenon               N/A                       Rookie     1506       76561198296028754
438    Erza                           N/A                       Rookie     1506       76561198316266286
439    Mangooseeo                     N/A                       Rookie     1506       76561198970681538
440    Sebastian Oliver               N/A                       Rookie     1506       76561198961754130
441    mongo_slade                    N/A                       Rookie     1506       76561199804339714
442    Ejesesei                       N/A                       Rookie     1506       76561199470431429
443    Syrag                          N/A                       Rookie     1505       76561199468479096
444    Pouic                          N/A                       Rookie     1505       76561198081239201
445    TMF Randall                    N/A                       Rookie     1505       76561198130894765
446    Maeyama                        N/A                       Rookie     1505       76561198271231857
447    Wld                            N/A                       Rookie     1505       76561198201988785
448    tuhmayto                       N/A                       Rookie     1505       76561198157379137
449    Paolo Mangente                 N/A                       Rookie     1505       76561198220556983
450    Nicolas Romitelli              N/A                       Rookie     1505       76561198187819521
451    fts_e36                        N/A                       Rookie     1505       76561198862453376
452    Titi                           N/A                       Rookie     1505       76561199865479056
453    Pakeo                          N/A                       Rookie     1504       76561198861266088
454    kotora                         N/A                       Rookie     1504       76561198183063381
455    Lua                            N/A                       Rookie     1504       76561198290894827
456    играет профессио               N/A                       Rookie     1504       76561199145422856
457    TemakiEBom                     N/A                       Rookie     1504       76561198120808978
458    venom62600                     N/A                       Rookie     1504       76561199179445923
459    Joe                            N/A                       Rookie     1504       76561198092721349
460    ryan                           N/A                       Rookie     1504       76561199141761179
461    Philipower                     N/A                       Rookie     1504       76561198952526653
462    Potato Aim                     N/A                       Rookie     1504       76561199132478655
463    ironcow911                     N/A                       Rookie     1504       76561198803294261
464    Thicc Nicc.                    N/A                       Rookie     1504       76561198807709085
465    Zale Xypher                    N/A                       Rookie     1504       76561198821984298
466    alilgreenman                   N/A                       Rookie     1504       76561198426455187
467    Rawblankito                    N/A                       Rookie     1504       76561198314832243
468    partenzaalessandro55           N/A                       Rookie     1504       76561199368658175
469    caesetius                      N/A                       Rookie     1504       76561199037967850
470    qwarty56                       N/A                       Rookie     1504       76561198042185500
