All Racers - ELO and License Report
Generated on: 2025-10-04 15:38:58
========================================================================================================================

Rank   Race Name                      Discord Name              License    ELO        Steam GUID
------------------------------------------------------------------------------------------------------------------------
1      Parmesan                       parmesan.296              A          2012       76561198309443188
2      [DLRT] Articulatefox           foxexplorer               A          1941       76561198135642660
3      Mylan Eling                    _mylan_                   A          1930       76561199060299709
4      Jawa                           jawa999                   A          1925       76561199027589694
5      BassCannon                     N/A                       A          1916       76561198287158193
6      Mogo                           mogo2261                  A          1882       76561197979979433
7      Alyias Flynn                   N/A                       A          1854       76561198059480628
8      Dmitry Oss                     dmitryoss                 A          1850       76561198019267787
9      ohyeah2389                     N/A                       A          1848       76561198111649540
10     Big Justice                    iosh1                     A          1834       76561199008053666
11     Splendid                       N/A                       A          1831       76561197971872704
12     Sir Banana7720                 N/A                       C          1831       76561199013532119
13     Jump_Raven                     N/A                       A          1825       76561197994131629
14     Potato                         januarysnow               A          1814       76561198801402641
15     Botlando                       rolandoramos              A          1810       76561198002604748
16     Boebie Boeberson               N/A                       B          1809       76561198092379135
17     baller                         grzegorz6729              B          1808       76561198940512950
18     SpeedBump                      vrsimracing               A          1801       76561198987735116
19     Boat                           longbeachboat562          A          1797       76561198811265034
20     Soup                           soup5088                  A          1793       76561198813709452
21     theraxo                        theraxo                   A          1792       76561199166486667
22     sebastien_beaulieu             sebastien_beaulieu        A          1776       76561199106047354
23     Michals                        michals0098               A          1769       76561198151341342
24     Dan                            N/A                       B          1767       76561198027893703
25     Moe Powers                     macadao                   A          1762       76561199183099394
26     Tommy Boy                      N/A                       A          1760       76561198047002406
27     Kiagoalski                     N/A                       A          1754       76561199087354592
28     Buggy                          farquadsquads             B          1753       76561198103373944
29     niggo.e36                      niggo.e36                 A          1750       76561198079460346
30     Locket Rauncher                N/A                       B          1749       76561198002378355
31     im2slick4u                     N/A                       C          1747       76561199093706865
32     Nebojsa Brankovic              sone246                   B          1746       76561198312567918
33     J2Quick                        N/A                       C          1741       76561198337770553
34     Josh Fulton                    joshfulton                B          1739       76561198013813110
35     iamajai                        iamajai                   B          1737       76561197971257030
36     NicksSkillz                    N/A                       B          1730       76561198023212152
37     Vojtech Adamira                N/A                       B          1724       76561199121818116
38     D4ncC                          jackarnigi                B          1723       76561198196672310
39     CTRL | IttzzDiogoPT            N/A                       B          1717       76561198204175552
40     Yossarian                      yossarian_68553           B          1711       76561198042272495
41     Jackyback                      N/A                       B          1709       76561198133860403
42     Feras Slient                   N/A                       B          1707       76561198097901659
43     rev174                         rev174                    D          1704       76561198027981090
44     wibba                          N/A                       B          1703       76561198806167197
45     Jere V.                        N/A                       B          1697       76561199017651793
46     ClutchRuss                     clutchruss                B          1693       76561199005426478
47     Project Purple                 projectpurple             B          1690       76561199016198981
48     Eric Latil                     N/A                       Rookie     1690       76561198006475537
49     Wyatt                          N/A                       C          1687       76561197991795515
50     KulaMocyBombaMiesoBezGMO       ready2di3                 B          1681       76561198828646049
51     Matheus                        N/A                       Rookie     1681       76561198377657700
52     Zaneninja13                    zaneninja13               D          1677       76561198282139933
53     DapperMKVI                     N/A                       B          1673       76561198048853718
54     DirtyHarry                     N/A                       Rookie     1673       76561198046156507
55     PogoXS                         pogoxs                    B          1670       76561197971026790
56     Pet Szabo                      N/A                       B          1654       76561197961151993
57     AlexGoesRacing                 N/A                       B          1652       76561198193116245
58     David C                        N/A                       B          1651       76561198108853352
59     Waasay Anjum                   N/A                       B          1651       76561198271003062
60     DaveBob                        N/A                       B          1648       76561197972213088
61     TriableGuitarUY                N/A                       B          1644       76561198982701265
62     GMPness                        N/A                       Rookie     1642       76561198835752301
63     Cronkavelli                    N/A                       B          1641       76561198061460444
64     Nick Chin                      nickodicko6576            B          1639       76561198360326108
65     J. Battalion                   N/A                       B          1638       76561199490657475
66     Max Cherobin                   N/A                       Rookie     1638       76561198015425145
67     whiteesmith                    N/A                       C          1636       76561198995194304
68     Dankest...                     N/A                       B          1636       76561199400728965
69     Ram                            N/A                       B          1634       76561198072352217
70     Marcos Mariño                  N/A                       Rookie     1634       76561199084335436
71     Sky                            sky_576                   B          1633       76561199207208225
72     Tater                          taterooo                  B          1633       76561198842314853
73     Petri Airio                    N/A                       Rookie     1633       76561198085798713
74     EL Flibby (Yassine Achour)     N/A                       Rookie     1631       76561198189230328
75     Paul Jewell                    N/A                       B          1628       76561198004283173
76     Nick Cruz                      N/A                       B          1627       76561198805226582
77     VHK                            N/A                       C          1627       76561199262858111
78     Michael Rivera-Vega            N/A                       Rookie     1627       76561198176391057
79     VM LividFizz                   N/A                       B          1625       76561198391538774
80     SLAY40                         N/A                       B          1624       76561198106043075
81     Brett Anderson(tpps43)         N/A                       B          1623       76561199441236219
82     Var                            N/A                       B          1621       76561198022591022
83     Karpet Kitty                   N/A                       Rookie     1620       76561197982947054
84     Arrow                          N/A                       B          1615       76561199524670691
85     Patchy                         N/A                       B          1614       76561198198719963
86     Pierre Cannon                  N/A                       Rookie     1611       76561198122768658
87     kimberlina                     N/A                       Rookie     1611       76561198977971086
88     Matias                         N/A                       Rookie     1611       76561198276199627
89     DeadlyD4N13L                   deadlyd4n13l              B          1610       76561198403818896
90     Cent                           N/A                       Rookie     1609       76561198868801266
91     Brad White                     N/A                       B          1608       76561198303398228
92     Fusi0n                         N/A                       C          1607       76561198329986666
93     BRIANumber7                    N/A                       B          1607       76561198072705555
94     LeftSinkHandle                 N/A                       B          1607       76561197997278862
95     Marcos Cholevas                N/A                       Rookie     1606       76561199159221663
96     Afnonso Frumencio              N/A                       Rookie     1605       76561198356388117
